File Path,Actual Species,Predicted Species,Confidence Score (%),Correct Prediction
/content/test/ABBOTTS BABBLER/1.jpg,ABBOTTS BABBLER,AZARAS SPINETAIL,36.54,False
/content/test/ABBOTTS BABBLER/2.jpg,ABBOTTS BABBLER,GRAY KINGBIRD,34.13,False
/content/test/ABBOTTS BABBLER/3.jpg,ABBOTTS BABBLER,ABBOTTS BABBLER,82.03,True
/content/test/ABBOTTS BABBLER/4.jpg,ABBOTTS BABBLER,ABBOTTS BABBLER,14.6,True
/content/test/ABBOTTS BABBLER/5.jpg,ABBOTTS BABBLER,ABBOTTS BABBLER,74.21,True
/content/test/ABBOTTS BOOBY/1.jpg,ABBOTTS BOOBY,CLARKS NUTCRACKER,30.85,False
/content/test/ABBOTTS BOOBY/2.jpg,ABBOTTS BOOBY,ABBOTTS BOOBY,90.16,True
/content/test/ABBOTTS BOOBY/3.jpg,ABBOTTS BOOBY,SQUACCO HERON,17.88,False
/content/test/ABBOTTS BOOBY/4.jpg,ABBOTTS BOOBY,NORTHERN GANNET,77.78,False
/content/test/ABBOTTS BOOBY/5.jpg,ABBOTTS BOOBY,ALBATROSS,48.16,False
/content/test/ABYSSINIAN GROUND HORNBILL/1.jpg,ABYSSINIAN GROUND HORNBILL,ABYSSINIAN GROUND HORNBILL,99.99,True
/content/test/ABYSSINIAN GROUND HORNBILL/2.jpg,ABYSSINIAN GROUND HORNBILL,ABYSSINIAN GROUND HORNBILL,97.41,True
/content/test/ABYSSINIAN GROUND HORNBILL/3.jpg,ABYSSINIAN GROUND HORNBILL,ABYSSINIAN GROUND HORNBILL,99.96,True
/content/test/ABYSSINIAN GROUND HORNBILL/4.jpg,ABYSSINIAN GROUND HORNBILL,ABYSSINIAN GROUND HORNBILL,83.0,True
/content/test/ABYSSINIAN GROUND HORNBILL/5.jpg,ABYSSINIAN GROUND HORNBILL,ABYSSINIAN GROUND HORNBILL,97.82,True
/content/test/AFRICAN CROWNED CRANE/1.jpg,AFRICAN CROWNED CRANE,AFRICAN CROWNED CRANE,99.9,True
/content/test/AFRICAN CROWNED CRANE/2.jpg,AFRICAN CROWNED CRANE,AFRICAN CROWNED CRANE,99.45,True
/content/test/AFRICAN CROWNED CRANE/3.jpg,AFRICAN CROWNED CRANE,AFRICAN CROWNED CRANE,100.0,True
/content/test/AFRICAN CROWNED CRANE/4.jpg,AFRICAN CROWNED CRANE,AFRICAN CROWNED CRANE,100.0,True
/content/test/AFRICAN CROWNED CRANE/5.jpg,AFRICAN CROWNED CRANE,AFRICAN CROWNED CRANE,100.0,True
/content/test/AFRICAN EMERALD CUCKOO/1.jpg,AFRICAN EMERALD CUCKOO,AFRICAN EMERALD CUCKOO,63.19,True
/content/test/AFRICAN EMERALD CUCKOO/2.jpg,AFRICAN EMERALD CUCKOO,AFRICAN EMERALD CUCKOO,96.6,True
/content/test/AFRICAN EMERALD CUCKOO/3.jpg,AFRICAN EMERALD CUCKOO,AFRICAN EMERALD CUCKOO,81.38,True
/content/test/AFRICAN EMERALD CUCKOO/4.jpg,AFRICAN EMERALD CUCKOO,AFRICAN EMERALD CUCKOO,48.6,True
/content/test/AFRICAN EMERALD CUCKOO/5.jpg,AFRICAN EMERALD CUCKOO,AFRICAN EMERALD CUCKOO,75.31,True
/content/test/AFRICAN FIREFINCH/1.jpg,AFRICAN FIREFINCH,AFRICAN FIREFINCH,39.64,True
/content/test/AFRICAN FIREFINCH/2.jpg,AFRICAN FIREFINCH,AFRICAN FIREFINCH,43.21,True
/content/test/AFRICAN FIREFINCH/3.jpg,AFRICAN FIREFINCH,AFRICAN FIREFINCH,78.32,True
/content/test/AFRICAN FIREFINCH/4.jpg,AFRICAN FIREFINCH,AFRICAN FIREFINCH,98.2,True
/content/test/AFRICAN FIREFINCH/5.jpg,AFRICAN FIREFINCH,AFRICAN FIREFINCH,72.5,True
/content/test/AFRICAN OYSTER CATCHER/1.jpg,AFRICAN OYSTER CATCHER,AFRICAN OYSTER CATCHER,99.21,True
/content/test/AFRICAN OYSTER CATCHER/2.jpg,AFRICAN OYSTER CATCHER,AFRICAN OYSTER CATCHER,99.97,True
/content/test/AFRICAN OYSTER CATCHER/3.jpg,AFRICAN OYSTER CATCHER,AFRICAN OYSTER CATCHER,75.63,True
/content/test/AFRICAN OYSTER CATCHER/4.jpg,AFRICAN OYSTER CATCHER,AFRICAN OYSTER CATCHER,99.92,True
/content/test/AFRICAN OYSTER CATCHER/5.jpg,AFRICAN OYSTER CATCHER,AFRICAN OYSTER CATCHER,99.84,True
/content/test/AFRICAN PIED HORNBILL/1.jpg,AFRICAN PIED HORNBILL,IVORY BILLED ARACARI,97.77,False
/content/test/AFRICAN PIED HORNBILL/2.jpg,AFRICAN PIED HORNBILL,VISAYAN HORNBILL,24.76,False
/content/test/AFRICAN PIED HORNBILL/3.jpg,AFRICAN PIED HORNBILL,MALABAR HORNBILL,85.75,False
